employee_id,employee_name,branch_id,job_title,hire_date,monthly_target
1,Gabriel Hill,1,Branch Manager,2020-06-06,27500000
2,Shane Buchanan,1,Senior Sales Associate,2025-09-17,9500000
3,Kelly Barnes,1,Cashier,2015-08-25,9500000
4,Charles Matthews,1,Sales Associate,2025-08-12,15000000
5,Teresa Buckley,1,Sales Associate,2021-11-22,6500000
6,Ashlee Mitchell,1,Sales Associate,2023-11-16,25000000
7,Hailey Jenkins,1,Sales Associate,2022-02-07,26000000
8,John Lynch,1,Sales Associate,2018-07-30,20500000
9,Donald Thomas,2,Branch Manager,2023-11-21,22500000
10,Melissa Williams,2,Senior Sales Associate,2021-06-25,7000000
11,Erin Young,2,Cashier,2025-05-27,15000000
12,Tammie Prince,2,Sales Associate,2023-05-12,12000000
13,Robert Turner,2,Sales Associate,2019-07-13,21500000
14,John Horton,2,Sales Associate,2018-03-26,30000000
15,Sean Taylor,2,Sales Associate,2023-02-18,10000000
16,Jessica Petersen,2,Sales Associate,2022-02-17,22000000
17,Jason Brewer,3,Branch Manager,2025-09-17,17500000
18,Daniel Holloway,3,Senior Sales Associate,2020-09-20,16000000
19,Olivia Camacho,3,Cashier,2022-03-04,11500000
20,Kaylee Moore,3,Sales Associate,2023-05-31,15500000
21,Jonathon Taylor,3,Sales Associate,2023-09-26,14000000
22,Sherry Johnson,3,Sales Associate,2022-02-20,29000000
23,Ross Hood,3,Sales Associate,2025-08-21,20000000
24,Jesus Hull,3,Sales Associate,2025-12-26,29000000
25,Denise Colon,4,Branch Manager,2024-09-15,5000000
26,Madison Martinez,4,Senior Sales Associate,2021-09-16,26000000
27,Jaime Wheeler,4,Cashier,2023-01-03,19000000
28,Seth Matthews,4,Sales Associate,2022-06-01,25500000
29,Christopher Kline,4,Sales Associate,2024-07-04,24500000
30,Melissa Mitchell,4,Sales Associate,2022-06-08,6000000
31,Christopher Armstrong,4,Sales Associate,2024-11-22,15000000
32,Shannon Holland,4,Sales Associate,2023-03-17,30000000
33,Debra Ortiz,5,Branch Manager,2023-04-01,17000000
34,Richard Saunders,5,Senior Sales Associate,2024-01-19,22000000
35,Thomas Holland,5,Cashier,2024-03-13,5500000
36,Alejandra King,5,Sales Associate,2025-07-05,29500000
37,Elizabeth Rasmussen,5,Sales Associate,2024-09-17,21000000
38,Jessica Bennett,5,Sales Associate,2025-06-18,19000000
39,David Owens,5,Sales Associate,2025-05-04,6000000
40,Samantha Sanders,5,Sales Associate,2024-04-10,25500000
